Sentence,Sentiment,cleaned_text,encoded_sentiment,stematized_text,lemmatized_text
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,the geosolutions technology will leverage benefon s gps solutions by providing location based search technology  a communities platform  location relevant multimedia content and a new and powerful commercial model ,1,the geosolut technolog will leverag benefon s gp solut by provid locat base search technolog a commun platform locat relev multimedia content and a new and power commerci model,the geosolutions technology will leverage benefon s gps solution by providing location based search technology a community platform location relevant multimedia content and a new and powerful commercial model
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,esi on lows down  to  bk a real possibility,0,esi on low down to bk a real possibl,esi on low down to bk a real possibility
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,for the last quarter of   componenta s net sales doubled to eurm from eurm for the same period a year earlier  while it moved to a zero pretax profit from a pretax loss of eurm ,1,for the last quarter of componenta s net sale doubl to eurm from eurm for the same period a year earlier while it move to a zero pretax profit from a pretax loss of eurm,for the last quarter of componenta s net sale doubled to eurm from eurm for the same period a year earlier while it moved to a zero pretax profit from a pretax loss of eurm
$SPY wouldn't be surprised to see a green close,positive,spy wouldnt be surprised to see a green close,1,spi wouldnt be surpris to see a green close,spy wouldnt be surprised to see a green close
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,shells  billion bg deal meets shareholder skepticism,0,shell billion bg deal meet sharehold skeptic,shell billion bg deal meet shareholder skepticism
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,ssh communications security corp stock exchange release october    at  pm the company updates its full year outlook and estimates its results to remain at loss for the full year ,0,ssh commun secur corp stock exchang releas octob at pm the compani updat it full year outlook and estim it result to remain at loss for the full year,ssh communication security corp stock exchange release october at pm the company update it full year outlook and estimate it result to remain at loss for the full year
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,kone s net sales rose by some   yearonyear in the first nine months of  ,1,kone s net sale rose by some yearonyear in the first nine month of,kone s net sale rose by some yearonyear in the first nine month of
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue has increased by   in finland and   in sweden in  ,1,circul revenu ha increas by in finland and in sweden in,circulation revenue ha increased by in finland and in sweden in
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,sap q disappoints as software licenses down real problem cloud growth trails msft orcl goog crm adbe httpstcojndphllzq,0,sap q disappoint as softwar licens down real problem cloud growth trail msft orcl goog crm adb httpstcojndphllzq,sap q disappoints a software license down real problem cloud growth trail msft orcl goog crm adbe httpstcojndphllzq
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,the subdivision made sales revenues last year of eur  million eur  million in   and operating profits of eur  million eur  million ,1,the subdivis made sale revenu last year of eur million eur million in and oper profit of eur million eur million,the subdivision made sale revenue last year of eur million eur million in and operating profit of eur million eur million
